"programa";"id_unidade";"sigla";"sigla_academica";"area_cnpq"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FACISA";"9816";"PPGSACOL";"SAC       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA NO NORDESTE";"6135";"RENASF";"NSF       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE E SOCIEDADE";"10489";"PPGSES";"PSE       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL";"376";"PPGSS/CCSA";"PPGSS     ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO";"73";"PPgSC/UFRN";"PPgSC     ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO";"5579";"PPGSE/CB";"PPGS      ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIA DA INFORMAÇÃO";"7872";"PPGTI/UFRN";"PPGTI     ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO";"4295";"PPGTUR/CCSA";"PPGT      ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO INTEGRADO DE DOUTORADO EM FILOSOFIA (UFPB - UFPE - UFRN)";"2873";"PIDFIL";"PIDFIL    ";"Outra"
"PROGRAMA REGIONAL DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA";"423";"PRODEMA";"MDM       ";"Outra"
"PRÓ-REITORIA DE PÓS-GRADUAÇÃO - PRINT";"30040";"PRINT/UFRN";"PRINT     ";"Outra"
